x,y
1.0,3.5
1.0,5.5
1.0,7.5
1.0,9.5
1.0,11.5
1.0,13.5
1.0,15.5
1.0,17.5
1.0,19.5
1.0,21.5
7.0,3.5
7.0,5.5
7.0,7.5
7.0,9.5
7.0,11.5
7.0,13.5
7.0,15.5
7.0,17.5
7.0,19.5
7.0,21.5
9.0,3.5
9.0,5.5
9.0,7.5
9.0,9.5
9.0,11.5
9.0,13.5
9.0,15.5
9.0,17.5
9.0,19.5
9.0,21.5
15.0,3.5
15.0,5.5
15.0,7.5
15.0,9.5
15.0,11.5
15.0,13.5
15.0,15.5
15.0,17.5
15.0,19.5
15.0,21.5
17.0,3.5
17.0,5.5
17.0,7.5
17.0,9.5
17.0,11.5
17.0,13.5
17.0,15.5
17.0,17.5
17.0,19.5
17.0,21.5
23.0,3.5
23.0,5.5
23.0,7.5
23.0,9.5
23.0,11.5
23.0,13.5
23.0,15.5
23.0,17.5
23.0,19.5
23.0,21.5
25.0,3.5
25.0,5.5
25.0,7.5
25.0,9.5
25.0,11.5
25.0,13.5
25.0,15.5
25.0,17.5
25.0,19.5
25.0,21.5
31.0,3.5
31.0,5.5
31.0,7.5
31.0,9.5
31.0,11.5
31.0,13.5
31.0,15.5
31.0,17.5
31.0,19.5
31.0,21.5
33.0,3.5
33.0,5.5
33.0,7.5
33.0,9.5
33.0,11.5
33.0,13.5
33.0,15.5
33.0,17.5
33.0,19.5
33.0,21.5
39.0,3.5
39.0,5.5
39.0,7.5
39.0,9.5
39.0,11.5
39.0,13.5
39.0,15.5
39.0,17.5
39.0,19.5
39.0,21.5
41.0,3.5
41.0,5.5
41.0,7.5
41.0,9.5
41.0,11.5
41.0,13.5
41.0,15.5
41.0,17.5
41.0,19.5
41.0,21.5
47.0,3.5
47.0,5.5
47.0,7.5
47.0,9.5
47.0,11.5
47.0,13.5
47.0,15.5
47.0,17.5
47.0,19.5
47.0,21.5

1.0,25.5
1.0,27.5
1.0,29.5
1.0,31.5
1.0,33.5
1.0,35.5
1.0,37.5
1.0,39.5
1.0,41.5
7.0,25.5
7.0,27.5
7.0,29.5
7.0,31.5
7.0,33.5
7.0,35.5
7.0,37.5
7.0,39.5
7.0,41.5
9.0,25.5
9.0,27.5
9.0,29.5
9.0,31.5
9.0,33.5
9.0,35.5
9.0,37.5
9.0,39.5
9.0,41.5
15.0,25.5
15.0,27.5
15.0,29.5
15.0,31.5
15.0,33.5
15.0,35.5
15.0,37.5
15.0,39.5
15.0,41.5
17.0,25.5
17.0,27.5
17.0,29.5
17.0,31.5
17.0,33.5
17.0,35.5
17.0,37.5
17.0,39.5
17.0,41.5
23.0,25.5
23.0,27.5
23.0,29.5
23.0,31.5
23.0,33.5
23.0,35.5
23.0,37.5
23.0,39.5
23.0,41.5
25.0,25.5
25.0,27.5
25.0,29.5
25.0,31.5
25.0,33.5
25.0,35.5
25.0,37.5
25.0,39.5
25.0,41.5
31.0,25.5
31.0,27.5
31.0,29.5
31.0,31.5
31.0,33.5
31.0,35.5
31.0,37.5
31.0,39.5
31.0,41.5
33.0,25.5
33.0,27.5
33.0,29.5
33.0,31.5
33.0,33.5
33.0,35.5
33.0,37.5
33.0,39.5
33.0,41.5
39.0,25.5
39.0,27.5
39.0,29.5
39.0,31.5
39.0,33.5
39.0,35.5
39.0,37.5
39.0,39.5
39.0,41.5
41.0,25.5
41.0,27.5
41.0,29.5
41.0,31.5
41.0,33.5
41.0,35.5
41.0,37.5
41.0,39.5
41.0,41.5
47.0,25.5
47.0,27.5
47.0,29.5
47.0,31.5
47.0,33.5
47.0,35.5
47.0,37.5
47.0,39.5
47.0,41.5

1.0,48.5
1.0,50.5
1.0,52.5
1.0,54.5
1.0,56.5
1.0,58.5
1.0,60.5
1.0,62.5
1.0,64.5
1.0,66.5
7.0,48.5
7.0,50.5
7.0,52.5
7.0,54.5
7.0,56.5
7.0,58.5
7.0,60.5
7.0,62.5
7.0,64.5
7.0,66.5
9.0,48.5
9.0,50.5
9.0,52.5
9.0,54.5
9.0,56.5
9.0,58.5
9.0,60.5
9.0,62.5
9.0,64.5
9.0,66.5
15.0,48.5
15.0,50.5
15.0,52.5
15.0,54.5
15.0,56.5
15.0,58.5
15.0,60.5
15.0,62.5
15.0,64.5
15.0,66.5
17.0,48.5
17.0,50.5
17.0,52.5
17.0,54.5
17.0,56.5
17.0,58.5
17.0,60.5
17.0,62.5
17.0,64.5
17.0,66.5
23.0,48.5
23.0,50.5
23.0,52.5
23.0,54.5
23.0,56.5
23.0,58.5
23.0,60.5
23.0,62.5
23.0,64.5
23.0,66.5
25.0,48.5
25.0,50.5
25.0,52.5
25.0,54.5
25.0,56.5
25.0,58.5
25.0,60.5
25.0,62.5
25.0,64.5
25.0,66.5
31.0,48.5
31.0,50.5
31.0,52.5
31.0,54.5
31.0,56.5
31.0,58.5
31.0,60.5
31.0,62.5
31.0,64.5
31.0,66.5
33.0,48.5
33.0,50.5
33.0,52.5
33.0,54.5
33.0,56.5
33.0,58.5
33.0,60.5
33.0,62.5
33.0,64.5
33.0,66.5
39.0,48.5
39.0,50.5
39.0,52.5
39.0,54.5
39.0,56.5
39.0,58.5
39.0,60.5
39.0,62.5
39.0,64.5
39.0,66.5
41.0,48.5
41.0,50.5
41.0,52.5
41.0,54.5
41.0,56.5
41.0,58.5
41.0,60.5
41.0,62.5
41.0,64.5
41.0,66.5
47.0,48.5
47.0,50.5
47.0,52.5
47.0,54.5
47.0,56.5
47.0,58.5
47.0,60.5
47.0,62.5
47.0,64.5
47.0,66.5
